SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500068,DISA INDIA  ,X ,Q,5808,5999.95,5808,5995.8,5999.95,5900.05,8,27,161489,
500069,BNK CAPITAL ,X ,Q,90,90,84,84,84,92.2,3,67,5688,
500074,BPL LTD.    ,B ,Q,25.25,26.4,24,24.35,24.35,26.35,610,85983,2196319,
500078,OAL         ,X ,Q,227,228.5,222.05,226.05,224.6,224.9,39,1702,384659,
500083,CENTURY EXT ,B ,Q,5.69,5.95,5.13,5.62,5.9,5.3,25,2435,13497,
500084,CESC LTD.   ,A ,Q,687.85,697.95,680.4,695.5,697,693.1,358,8445,5823861,
500085,CHAMBAL FERT,A ,Q,153.8,155.6,151.1,151.55,151.55,154.8,241,6612,1010489,
500086,EXIDE IND.  ,A ,Q,216.9,216.9,212.75,214.9,214,216.8,561,38827,8330811,
500087,CIPLA LTD.  ,A ,Q,563,564.9,557.05,563.6,563.5,564.4,975,46739,26221159,
500089,DIC INDIA   ,B ,Q,332.05,346,332.05,336.5,336.5,340.55,8,118,39857,
500092,CRISIL LTD  ,A ,Q,1425,1445.6,1419.9,1427.8,1436.15,1440.5,135,744,1063890,XD
500093,CGPOWER     ,A ,Q,35.8,37.75,35.8,37.55,37.55,36.75,1158,571348,21211662,
500096,DABUR (I)   ,A ,Q,381.95,382.55,375.2,377.95,377.95,381.25,1633,76959,29060857,
500097,DALMIASUG   ,B ,Q,111.7,113.35,110.7,111.1,111.55,112.05,164,7414,826657,
500101,ARVIND Ltd  ,A ,Q,82.1,84,81.2,81.6,81.6,82.4,507,93497,7690377,
500102,BALARPUR IND,B ,Q,2.54,2.57,2.48,2.52,2.53,2.58,99,105414,266103,
500103,BHEL        ,A ,Q,68.6,68.6,65.5,65.85,65.85,68.55,5426,3826264,253377610,
500104,HIND.PETRO  ,A ,Q,284,293.55,283.45,292.25,292.25,285.75,2853,313140,91136958,
500106,IFCI LTD    ,A ,Q,10,10.09,9.85,9.95,9.9,10,577,250966,2500317,
500108,MAHA.TELE   ,B ,Q,11.6,11.65,11.35,11.39,11.39,11.74,347,170380,1952110,
500109,MRPL        ,A ,Q,70.55,71,69.6,70.15,69.9,70.65,357,95572,6714993,
500110,CHENNAI PET.,A ,Q,249.85,256.7,249.85,252.55,252.55,252.35,257,12440,3153188,
500111,REL.CAP.    ,A ,Q,132.8,135.4,125.1,126.65,126.65,136.5,14077,2088899,269856312,
500112,STATE BANK  ,A ,Q,307.8,310,305.9,308.7,308.7,309.15,4230,614890,189543402,
500113,STEEL AUTH. ,A ,Q,56.2,56.2,54.35,55.05,55.05,56.9,1866,1181270,65083019,
500114,TITAN       ,A ,Q,1145,1147,1075.1,1081.8,1081.8,1145.55,5616,177607,194358055,
500116,IDBI BANK L ,A ,Q,39.75,39.85,38.1,38.5,38.5,39.95,998,432892,16866368,
500117,DCW LTD.    ,B ,Q,17.55,17.65,17,17.5,17.5,17.8,193,52415,912552,
500119,DHAMPUR SUGA,B ,Q,223.95,229.9,223.05,225.65,225.65,226.05,656,35571,8051327,
500120,DIAMINES&CHM,X ,Q,118.05,125.75,117,117.15,117,121.45,22,2871,341567,
500123,ELANTAS     ,B ,Q,2320,2320,2265,2271.5,2265,2280.2,26,141,321286,
500124,DR.REDDY'S  ,A ,Q,2887.6,2926.2,2887.6,2919.5,2919,2903.9,916,13512,39378577,
500125,E.I.D.PAR   ,A ,Q,191,191.6,188,189.4,189.4,191.65,127,4751,903772,
500126,MERCK LTD   ,A ,Q,3672,3672,3605,3614.15,3614.15,3672.5,388,1685,6117599,
500128,ELEC.CASTING,B ,Q,19.7,19.7,19.05,19.05,19.1,19.4,85,19368,371091,
500132,EMPEE SUGARS,XT,Q,1.12,1.12,1.12,1.12,1.12,1.17,7,5399,6046,
500133,ESAB INDIA  ,B ,Q,852.6,880.5,852.6,860,855,870.15,26,295,257142,
500135,ESSEL PROP  ,B ,Q,133,134.15,129.35,131.9,133.35,133.2,126,6271,832937,
